"","X.https...finance.yahoo.com.quote.SJW.","X.http...www.sjwgroup.com."
"6","https://finance.yahoo.com/quote/SLG^I",""
"14","https://finance.yahoo.com/quote/IPOA.U",""
"15","https://finance.yahoo.com/quote/IPOA.WS",""
"26","https://finance.yahoo.com/quote/SJIU",""
"27","https://finance.yahoo.com/quote/SCE^G",""
"28","https://finance.yahoo.com/quote/SCE^H",""
"29","https://finance.yahoo.com/quote/SCE^J",""
"30","https://finance.yahoo.com/quote/SCE^K",""
"31","https://finance.yahoo.com/quote/SCE^L",""
"33","https://finance.yahoo.com/quote/SOJA",""
"34","https://finance.yahoo.com/quote/SOJB",""
"35","https://finance.yahoo.com/quote/SOJC",""
"41","https://finance.yahoo.com/quote/SPAQ.U",""
"42","https://finance.yahoo.com/quote/SPAQ.WS",""
"44","https://finance.yahoo.com/quote/SPE^B",""
"52","https://finance.yahoo.com/quote/SRC^A",""
"61","https://finance.yahoo.com/quote/STAG^C",""
"65","https://finance.yahoo.com/quote/SWJ",""
"67","https://finance.yahoo.com/quote/SWP",""
"73","https://finance.yahoo.com/quote/STT^C",""
"74","https://finance.yahoo.com/quote/STT^D",""
"75","https://finance.yahoo.com/quote/STT^E",""
"76","https://finance.yahoo.com/quote/STT^G",""
"78","https://finance.yahoo.com/quote/SPLP^A",""
"80","https://finance.yahoo.com/quote/SCA",""
"85","https://finance.yahoo.com/quote/STL^A",""
"88","https://finance.yahoo.com/quote/SF^A",""
"89","https://finance.yahoo.com/quote/SF^B",""
"90","https://finance.yahoo.com/quote/SFB",""
"97","https://finance.yahoo.com/quote/GJH",""
"98","https://finance.yahoo.com/quote/GJO",""
"99","https://finance.yahoo.com/quote/GJS",""
"106","https://finance.yahoo.com/quote/INN^D",""
"107","https://finance.yahoo.com/quote/INN^E",""
"118","https://finance.yahoo.com/quote/SHO^E",""
"119","https://finance.yahoo.com/quote/SHO^F",""
"121","https://finance.yahoo.com/quote/STI^A",""
"130","https://finance.yahoo.com/quote/SNV^D",""
"131","https://finance.yahoo.com/quote/GJP",""
"132","https://finance.yahoo.com/quote/GJR",""
"133","https://finance.yahoo.com/quote/GJT",""
"134","https://finance.yahoo.com/quote/GJV",""
"147","https://finance.yahoo.com/quote/NGLS^A",""
"153","https://finance.yahoo.com/quote/TCO^J",""
"154","https://finance.yahoo.com/quote/TCO^K",""
"159","https://finance.yahoo.com/quote/TCF^D",""
"167","https://finance.yahoo.com/quote/TGP^A",""
"168","https://finance.yahoo.com/quote/TGP^B",""
"170","https://finance.yahoo.com/quote/TOO^A",""
"171","https://finance.yahoo.com/quote/TOO^B",""
"172","https://finance.yahoo.com/quote/TOO^E",""
"185","https://finance.yahoo.com/quote/TI.A",""
"190","https://finance.yahoo.com/quote/TDA",""
"191","https://finance.yahoo.com/quote/TDE",""
"192","https://finance.yahoo.com/quote/TDI",""
"193","https://finance.yahoo.com/quote/TDJ",""
"206","https://finance.yahoo.com/quote/TVC",""
"207","https://finance.yahoo.com/quote/TVE",""
"221","https://finance.yahoo.com/quote/SCHW^C",""
"222","https://finance.yahoo.com/quote/SCHW^D",""
"225","https://finance.yahoo.com/quote/GRX^A",""
"226","https://finance.yahoo.com/quote/GRX^B",""
"228","https://finance.yahoo.com/quote/GDL^C",""
"230","https://finance.yahoo.com/quote/THGA",""
"234","https://finance.yahoo.com/quote/VAM",""
"238","https://finance.yahoo.com/quote/TSLF",""
"239","https://finance.yahoo.com/quote/TCRW",""
"240","https://finance.yahoo.com/quote/TCRZ",""
"244","https://finance.yahoo.com/quote/TDW.WS.A",""
"245","https://finance.yahoo.com/quote/TDW.WS.B",""
"258","https://finance.yahoo.com/quote/TMK^C",""
"262","https://finance.yahoo.com/quote/SHLL.U",""
"263","https://finance.yahoo.com/quote/SHLL.WS",""
"266","https://finance.yahoo.com/quote/TEAF",""
"276","https://finance.yahoo.com/quote/TPGH.U",""
"277","https://finance.yahoo.com/quote/TPGH.WS",""
"292","https://finance.yahoo.com/quote/TY^",""
"295","https://finance.yahoo.com/quote/TRNE",""
"296","https://finance.yahoo.com/quote/TRNE.U",""
"297","https://finance.yahoo.com/quote/TRNE.WS",""
"302","https://finance.yahoo.com/quote/TPVY",""
"305","https://finance.yahoo.com/quote/TRTN^A",""
"310","https://finance.yahoo.com/quote/TNP^B",""
"311","https://finance.yahoo.com/quote/TNP^C",""
"312","https://finance.yahoo.com/quote/TNP^D",""
"313","https://finance.yahoo.com/quote/TNP^E",""
"314","https://finance.yahoo.com/quote/TNP^F",""
"325","https://finance.yahoo.com/quote/TWO^A",""
"326","https://finance.yahoo.com/quote/TWO^B",""
"327","https://finance.yahoo.com/quote/TWO^C",""
"328","https://finance.yahoo.com/quote/TWO^D",""
"329","https://finance.yahoo.com/quote/TWO^E",""
"333","https://finance.yahoo.com/quote/USB^A",""
"334","https://finance.yahoo.com/quote/USB^H",""
"335","https://finance.yahoo.com/quote/USB^M",""
"336","https://finance.yahoo.com/quote/USB^O",""
"337","https://finance.yahoo.com/quote/USB^P",""
"347","https://finance.yahoo.com/quote/UMH^B",""
"348","https://finance.yahoo.com/quote/UMH^C",""
"349","https://finance.yahoo.com/quote/UMH^D",""
"364","https://finance.yahoo.com/quote/UZA",""
"365","https://finance.yahoo.com/quote/UZB",""
"366","https://finance.yahoo.com/quote/UZC",""
"378","https://finance.yahoo.com/quote/UNMA",""
"382","https://finance.yahoo.com/quote/UBP^G",""
"383","https://finance.yahoo.com/quote/UBP^H",""
"390","https://finance.yahoo.com/quote/VFC$",""
"408","https://finance.yahoo.com/quote/VER^F",""
"427","https://finance.yahoo.com/quote/VST.WS.A",""
"431","https://finance.yahoo.com/quote/VOC",""
"435","https://finance.yahoo.com/quote/VNO^K",""
"436","https://finance.yahoo.com/quote/VNO^L",""
"437","https://finance.yahoo.com/quote/VNO^M",""
"452","https://finance.yahoo.com/quote/WRB^B",""
"453","https://finance.yahoo.com/quote/WRB^C",""
"454","https://finance.yahoo.com/quote/WRB^D",""
"455","https://finance.yahoo.com/quote/WRB^E",""
"467","https://finance.yahoo.com/quote/WPG^H",""
"468","https://finance.yahoo.com/quote/WPG^I",""
"474","https://finance.yahoo.com/quote/WSO.B",""
"478","https://finance.yahoo.com/quote/WBS^F",""
"486","https://finance.yahoo.com/quote/WFC^L",""
"487","https://finance.yahoo.com/quote/WFC^N",""
"488","https://finance.yahoo.com/quote/WFC^O",""
"489","https://finance.yahoo.com/quote/WFC^P",""
"490","https://finance.yahoo.com/quote/WFC^Q",""
"491","https://finance.yahoo.com/quote/WFC^R",""
"492","https://finance.yahoo.com/quote/WFC^T",""
"493","https://finance.yahoo.com/quote/WFC^V",""
"494","https://finance.yahoo.com/quote/WFC^W",""
"495","https://finance.yahoo.com/quote/WFC^X",""
"496","https://finance.yahoo.com/quote/WFC^Y",""
"497","https://finance.yahoo.com/quote/WFE^A",""
"504","https://finance.yahoo.com/quote/WALA",""
"575","https://finance.yahoo.com/quote/ZB^A",""
"576","https://finance.yahoo.com/quote/ZB^G",""
"577","https://finance.yahoo.com/quote/ZB^H",""
"578","https://finance.yahoo.com/quote/ZBK",""
"602","https://finance.yahoo.com/quote/AMS",""
"605","https://finance.yahoo.com/quote/ARNC^",""
"616","https://finance.yahoo.com/quote/BCV^A",""
"621","https://finance.yahoo.com/quote/BIOX.WS",""
"628","https://finance.yahoo.com/quote/BRG^A",""
"629","https://finance.yahoo.com/quote/BRG^C",""
"630","https://finance.yahoo.com/quote/BRG^D",""
"631","https://finance.yahoo.com/quote/BWL.A",""
"632","https://finance.yahoo.com/quote/CMCL",""
"640","https://finance.yahoo.com/quote/CHAC",""
"641","https://finance.yahoo.com/quote/CHAC.U",""
"642","https://finance.yahoo.com/quote/CHAC.WS",""
"649","https://finance.yahoo.com/quote/CCC.WS",""
"651","https://finance.yahoo.com/quote/GLQ",""
"679","https://finance.yahoo.com/quote/DMF",""
"691","https://finance.yahoo.com/quote/ECF^A",""
"696","https://finance.yahoo.com/quote/UUUU.WS",""
"711","https://finance.yahoo.com/quote/GGN^B",""
"728","https://finance.yahoo.com/quote/HLM^",""
"732","https://finance.yahoo.com/quote/IBO",""
"741","https://finance.yahoo.com/quote/NSPR.WS",""
"742","https://finance.yahoo.com/quote/NSPR.WS.B",""
"748","https://finance.yahoo.com/quote/VKI",""
"754","https://finance.yahoo.com/quote/LTS^A",""
"755","https://finance.yahoo.com/quote/LTSK",""
"756","https://finance.yahoo.com/quote/LTSL",""
"757","https://finance.yahoo.com/quote/LTSF",""
"765","https://finance.yahoo.com/quote/IPB",""
"772","https://finance.yahoo.com/quote/ATEST",""
"773","https://finance.yahoo.com/quote/ATEST.A",""
"774","https://finance.yahoo.com/quote/ATEST.B",""
"775","https://finance.yahoo.com/quote/ATEST.C",""
"781","https://finance.yahoo.com/quote/NML",""
"784","https://finance.yahoo.com/quote/NRO",""
"796","https://finance.yahoo.com/quote/NRCG.WS",""
"801","https://finance.yahoo.com/quote/PCG^A",""
"802","https://finance.yahoo.com/quote/PCG^B",""
"803","https://finance.yahoo.com/quote/PCG^C",""
"804","https://finance.yahoo.com/quote/PCG^D",""
"805","https://finance.yahoo.com/quote/PCG^E",""
"806","https://finance.yahoo.com/quote/PCG^G",""
"807","https://finance.yahoo.com/quote/PCG^H",""
"808","https://finance.yahoo.com/quote/PCG^I",""
"814","https://finance.yahoo.com/quote/HNW",""
"818","https://finance.yahoo.com/quote/PLYM^A",""
"821","https://finance.yahoo.com/quote/PW^A",""
"827","https://finance.yahoo.com/quote/RHE^A",""
"844","https://finance.yahoo.com/quote/SCE^B",""
"845","https://finance.yahoo.com/quote/SCE^C",""
"846","https://finance.yahoo.com/quote/SCE^D",""
"847","https://finance.yahoo.com/quote/SCE^E",""
"856","https://finance.yahoo.com/quote/TALO.WS",""
"861","https://finance.yahoo.com/quote/GLU^A",""
"862","https://finance.yahoo.com/quote/GLU^B",""
"864","https://finance.yahoo.com/quote/GGO^A",""
"865","https://finance.yahoo.com/quote/TDW.WS",""
"882","https://finance.yahoo.com/quote/EAD",""
"883","https://finance.yahoo.com/quote/ERC",""
"884","https://finance.yahoo.com/quote/ERH",""
